Row Labels,Average Ambulance Arrival to Handover Time (Rolling 180 mins),% Bed Occupancy (G&A + Escalation) - Adult ,% Patients Not Meeting Criteria to Reside - Adult,Unvalidated 4hr % Performance (Since Midnight) - ED All-Type,% Open beds that are escalation beds,CFT - Virtual Ward % Occupancy,SWAST - % See & Treat Rates (Since Midnight) - Cornwall,SWAST - Ambulance Conveyances (Rolling 60 mins) - Royal Cornwall Hospital Treliske (RCH),SWAST - % Hear & Treat Rates (Since Midnight) - Cornwall,Integrated OPEL Score,Mental Health OPEL Score,Acute OPEL Score 24/26 ,Community OPEL Score,Total Patients delayed in CHAOS (previous day), Total Patients delayed in STEPS (previous day)
15-Feb,25.385,96.54652174,12.9075,51.57695652,1.450869565,52,36.27904762,4.75,23.79782609,60.66666667,76.6,64.6,47.2,28,28
16-Feb,50.71375,97.46217391,12.93083333,53.47708333,1.369565217,51.5,54.66434783,4.791666667,20.44863636,69.6,79,72.2,58.2,28,28
17-Feb,69.94458333,97.03173913,14.25041667,49.28208333,1.346086957,49.33333333,34.13047619,5.333333333,17.48333333,70.3,78.2,76.7,56.1,28,28
18-Feb,95.59666667,96.91782609,14.55791667,35.61391304,1.391304348,51.5,44.81409091,4.791666667,25.47434783,65.1,75,70.5,49.7,28,26
19-Feb,26.795,97.55130435,14.49916667,46.86416667,1.49173913,49,33.89217391,5.833333333,26.91826087,61,75,61.7,46.6,28,26
20-Feb,93.3275,97.68521739,15.9475,37.05708333,1.44826087,51,43.41333333,4.666666667,30.59826087,68.1,72.2,79.6,52.4,25,25
21-Feb,73.64333333,97.16043478,15.68916667,36.14458333,1.32173913,56.33333333,41.84434783,4.291666667,15.09181818,67.3,74.2,79.2,48,25,25
22-Feb,47.85916667,96.23869565,14.175,49.7226087,1.22826087,54,38.89521739,5.041666667,19.43521739,64.4,75,77.2,41.4,25,25
23-Feb,72.92375,98.11478261,14.18916667,40.34833333,1.343478261,53,32.8926087,4.291666667,20.6926087,64.9,75,78.4,40.9,25,25
24-Feb,44.2575,98.44863636,15.36391304,45.54181818,1.422272727,54,36.12761905,5,11.97421053,65.4,78.2,76.3,41.9,25,25
25-Feb,70.52125,97.89608696,17.01958333,31.71666667,1.497391304,53,40.29772727,4.333333333,28.2475,66.3,79,77.3,43,25,27
26-Feb,76.6225,96.8726087,15.51041667,41.07611111,1.376086957,53.5,40.64904762,4.583333333,25.99333333,64.6,75.8,74.9,43,25,29
27-Feb,43.67833333,96.73636364,15.28304348,42.46386364,1.369545455,53.33333333,35.78521739,4.666666667,24.44086957,64.6,76.6,70.1,47,25,30
28-Feb,32.06375,97.2826087,16.39458333,41.50956522,1.837391304,51.5,48.16818182,5,24.9526087,62.1,77,63.7,45.2,25,30
01-Mar,57.52416667,96.79695652,16.76458333,45.90458333,1.773913043,53,36.76652174,5.125,21.53458333,61.7,75,65.3,45,25,31
02-Mar,43.84125,98.22181818,16.11173913,35.48166667,1.536363636,52,40.40363636,4.291666667,24.03391304,66.9,75,69.1,56.1,25,31
03-Mar,58.7725,98.39695652,14.78625,41.86541667,1.384347826,50,38.06869565,5.208333333,9.685217391,61.7,75,67.4,42.9,25,31
04-Mar,104.1820833,97.44347826,15.17875,45.38166667,1.832173913,52.33333333,37.79714286,4.833333333,27.32954545,63.3,78.6,62.7,48.7,25,30
05-Mar,53.18791667,97.32086957,16.52291667,45.81958333,1.865652174,49.25,35.76090909,4,29.13304348,59.9,78.6,49.7,51.4,25,30
06-Mar,35.18041667,97.57782609,16.005,49.21565217,1.932173913,52.4,32.92045455,5.875,29.95541667,62.3,80.6,53.7,52.5,35,31
07-Mar,103.8054167,95.87434783,16.32375,42.00958333,2.236956522,51.5,34.43347826,4.5,25.51375,66.7,81,68.3,50.6,35,30
08-Mar,47.91291667,94.01043478,15.35333333,41.03375,1.853478261,51.66666667,50.54173913,4.5,15.10421053,61.4,83,61.3,39.9,35,30
09-Mar,47.6375,94.53565217,14.2675,58.40583333,1.887826087,52,37.98909091,4.416666667,28.32478261,62.4,83,59.1,45.2,35,30
10-Mar,101.2816667,94.11565217,14.51958333,44.72086957,1.814347826,51,27.07565217,4.833333333,32.69,62.2,83,64.9,39.1,35,30
